sample	group	batch	condition
DA01	DA	Djougou	Resistant
DA02	DA	Djougou	Resistant
DA03	DA	Djougou	Resistant
BU01	BU	Bassila	Control
BU02	BU	Bassila	Control
BU03	BU	Bassila	Control
BP02	BP	Bassila	Resistant
BP03	BP	Bassila	Resistant
BP04	BP	Bassila	Resistant
KIS01	KIS	Kisumu	Susceptible
KIS02	KIS	Kisumu	Susceptible
KIS03	KIS	Kisumu	Susceptible
DU01	DU	Djougou	Control
DU02	DU	Djougou	Control
DU03	DU	Djougou	Control
BD01	BD	Bassila	Resistant
BD02	BD	Bassila	Resistant
BD03	BD	Bassila	Resistant
DP01	DP	Djougou	Resistant
DP02	DP	Djougou	Resistant
DP03	DP	Djougou	Resistant
DD01	DD	Djougou	Resistant
DD03	DD	Djougou	Resistant
DD02	DD	Djougou	Resistant
