kraken_taxid	species_name	assembly_accession	ncbi_taxid
45315	2-12-FULL-45-22 sp001803565	GCA_001803565.1	1801687
45316	JACOWJ01 sp016176845	GCA_016176845.1	2026769
45317	4484-113 sp002050035	GCA_002050035.1	1956161
45318	JAGGTK01 sp021163765	GCA_021163765.1	1869227
45319	JAGGTK01 sp029932365	GCA_029932365.1	1869227
45320	JAGGTK01 sp030606285	GCA_030606285.1	2053591
45321	JBBIJQ01 sp037445915	GCA_037445915.1	2053591
45322	JBBIRS01 sp037441675	GCA_037441675.1	2053591
45323	JADZFO01 sp020849855	GCA_020849855.1	1869227
45324	JAFGCY01 sp016932385	GCA_016932385.1	1869227
45325	JAHEFU01 sp020440605	GCA_020440605.1	1869227
45326	JAHEFU01 sp020440645	GCA_020440645.1	1869227
45327	JAHEFU01 sp022646745	GCA_022646745.1	2053591
45328	JAHEFU01 sp024645305	GCA_024645305.1	2053591
45329	JAHEFU01 sp041395205	GCA_041395205.1	1869227
45330	JABRWB01 sp039961635	GCA_039961635.1	1869227
45331	JAGGVC01 sp021158185	GCA_021158185.1	1869227
45332	JALSIF01 sp026981635	GCA_026981635.1	1869227
45333	4572-55 sp002084765	GCA_002084765.1	1971726
45334	J002 sp003697105	GCA_003697105.1	2026742
45335	ARS69 sp002686915	GCA_030747075.1	2026742
45336	BQJX01 sp021604925	GCA_021604925.1	2026742
45337	JAGQIB01 sp020431545	GCA_020431545.1	2026742
45338	JAGQIB01 sp041393395	GCA_041393395.1	1869227
45339	JALGZO01 sp025774865	GCA_025774865.1	1869227
45340	JALGZR01 sp025774805	GCA_025774805.1	1869227
45341	AUK180 sp021162505	GCA_021162505.1	1869227
45342	CALMGJ01 sp937863565	GCA_937863565.1	77133
45343	JAGLWT01 sp023133295	GCA_023133295.1	1869227
45344	JAGLWT01 sp023144005	GCA_023144005.1	1869227
45345	JAUXGM01 sp030622125	GCA_030622125.1	1869227
45346	DAOVMD01 sp030630935	GCA_030630935.1	2813022
45347	JAQVHJ01 sp028696285	GCA_028696285.1	1869227
45348	JACRIR01 sp016215705	GCA_016215705.1	2026781
45349	SURF-17 sp003598055	GCA_003598055.1	2093361
45350	SURF-5 sp003598085	GCA_003598085.1	2093360
45351	Aminicenans sakinawicola	GCA_000493965.1	1383028
45352	DAOVDI01 sp030669585	GCA_030669585.1	1978231
45353	DAOVDU01 sp030669305	GCA_030669305.1	2052149
45354	G020344415 sp020344415	GCA_020344415.1	2052149
45355	G020348385 sp020348385	GCA_020348385.1	2052149
45356	G020348385 sp030633795	GCA_030633795.1	2052149
45357	G020348385 sp030670375	GCA_030670375.1	2052149
45358	JADHWO01 sp016783445	GCA_016783445.1	2052149
45359	JAGLWV01 sp023133225	GCA_023133225.1	2052149
45360	JAGLWV01 sp030673995	GCA_030673995.1	2052149
45361	JAGXKI01 sp018335295	GCA_018335295.1	1869227
45362	JAHIPL01 sp018894615	GCA_018894615.1	1978231
45363	JAUVXM01 sp030603565	GCA_030603565.1	2052149
45364	JAUVXM01 sp030612445	GCA_030612445.1	2052149
45365	JAUVXM01 sp030614645	GCA_030614645.1	2052149
45366	JAUWSR01 sp030609975	GCA_030609975.1	1978231
45370	JAUWVG01 sp030617525	GCA_030617525.1	2052149
45371	JAUWVG01 sp036446295	GCA_036446295.1	3104267
45372	JAUWYH01 sp030615975	GCA_030615975.1	2052149
45373	Kmv29 sp014859315	GCA_014859315.1	2052149
45374	Kmv29 sp030627155	GCA_030627155.1	2052149
45375	SOIA01 sp004378665	GCA_004378665.1	2052149
45376	SOIA01 sp029882525	GCA_029882525.1	2052149
45377	SOIA01 sp030671065	GCA_030671065.1	2052149
45378	SOIV01 sp004377005	GCA_004377005.1	2052149
45379	SOIV01 sp011049545	GCA_011049545.1	2052149
45380	SOIV01 sp011772475	GCA_011772475.1	2052149
45381	SOIV01 sp011773465	GCA_011773465.1	2052149
45382	SOIV01 sp030607635	GCA_030607635.1	2052149
45383	WJMT01 sp014727835	GCA_014727835.1	2052149
45384	WJMT01 sp021162615	GCA_021162615.1	2052149
45385	WJMT01 sp035655135	GCA_035655135.1	1978231
45386	WJMT01 sp041686095	GCA_041686095.1	2052149
45387	WTAW01 sp013139435	GCA_013139435.1	2052149
45388	WTAW01 sp023135995	GCA_023135995.1	2052149
45389	WVZL01 sp011772495	GCA_011772495.1	2052149
45390	WVZL01 sp041862375	GCA_041862375.1	3104267
45391	CALLJL01 sp026416195	GCA_026416195.1	2052149
45392	CALLJL01 sp037441905	GCA_037441905.1	2052149
45393	CALLJL01 sp938092135	GCA_938092135.1	77133
45394	JAFGAV01 sp016867615	GCA_016867615.1	2052149
45395	JAFGAV01 sp016933515	GCA_016933515.1	2052149
45397	JAFGBC01 sp016933355	GCA_016933355.1	2052149
45398	JAFGBC01 sp022867325	GCA_022867325.1	2052149
45399	JAFGMO01 sp016927475	GCA_016927475.1	2052149
45400	JdFR-80 sp002010725	GCA_002010725.1	1935110
45401	JdFR-80 sp003648765	GCA_003648765.1	2052149
45402	JdFR-80 sp011042725	GCA_011042725.1	2052149
45403	DATKJS01 sp035543515	GCA_035543515.1	2282142
45404	DATKJS01 sp037441295	GCA_037441295.1	2052149
45405	JALHVH01 sp022867105	GCA_022867105.1	2052149
45406	JAWSUF01 sp033549365	GCA_033549365.1	1978231
45407	RBG-16-66-30 sp001773855	GCA_001773855.1	1797271
45408	RBG-16-66-30 sp001775715	GCA_001775715.1	1797274
45409	RBG-16-66-30 sp001775755	GCA_001775755.1	1797277
45410	RBG-16-66-30 sp011048485	GCA_011048485.1	2052149
45411	RBG-16-66-30 sp012516875	GCA_017999365.1	2052149
45412	RBG-16-66-30 sp014894455	GCA_014894455.1	1978231
45413	RBG-16-66-30 sp016867635	GCA_016867635.1	2052149
45414	RBG-16-66-30 sp017883305	GCA_017883305.1	2052149
45415	RBG-16-66-30 sp022711665	GCA_022711665.1	1978231
45416	RBG-16-66-30 sp026393955	GCA_026393955.1	2052149
45417	RBG-16-66-30 sp026393975	GCA_026393975.1	2052149
45418	RBG-16-66-30 sp029569255	GCA_029569255.1	1978231
45419	RBG-16-66-30 sp034679465	GCA_034679465.1	2052149
45420	RBG-16-66-30 sp037447475	GCA_037447475.1	2052149
45421	RBG-16-66-30 sp039683095	GCA_039683095.1	1978231
45422	RBG-16-66-30 sp041303965	GCA_041303965.1	2052149
45423	RBG-16-66-30 sp041304225	GCA_041304225.1	2052149
45424	RBG-16-66-30 sp041320535	GCA_041320535.1	2052149
45425	RBG-16-66-30 sp041479905	GCA_041479905.1	3097466
45426	RBG-16-66-30 sp041736225	GCA_041736225.1	3090891
45427	Saccharicenans sp002316315	GCA_002316315.1	1953190
45428	Saccharicenans sp002441005	GCA_002441005.1	1953197
45429	Saccharicenans sp002877915	GCA_002877915.1	2052149
45430	Saccharicenans sp003476685	GCA_003476685.1	1978231
45431	Saccharicenans sp013178315	GCA_013178315.1	2052149
45432	Saccharicenans sp014359965	GCA_014359965.1	2052149
45433	Saccharicenans sp014360005	GCA_014360005.1	2052149
45434	Saccharicenans sp014360015	GCA_014360015.1	2052149
45435	Saccharicenans sp017992175	GCA_017992175.1	2819258
45436	Saccharicenans sp024653215	GCA_024653215.1	2819258
45437	Saccharicenans sp024653405	GCA_029907135.1	2819258
45438	Saccharicenans sp026414545	GCA_026414545.1	2819258
45439	Saccharicenans sp028749115	GCA_028749115.1	1978231
45440	Saccharicenans sp028749205	GCA_028749205.1	1978231
45441	Saccharicenans sp029553365	GCA_029553365.1	1978231
45442	Saccharicenans sp029571905	GCA_029571905.1	1978231
45443	Saccharicenans sp030017715	GCA_030017715.1	2819258
45444	Saccharicenans sp030018265	GCA_030018265.1	2819258
45445	Saccharicenans sp035416665	GCA_035416665.1	2819258
45446	Saccharicenans sp037441785	GCA_037441785.1	2052149
45447	Saccharicenans sp937920515	GCA_937920515.1	77133
45448	Saccharicenans subterraneus	GCA_003426165.1	2508984
45449	FEN-413 sp003141555	GCA_003141555.1	2052149
45450	FEN-413 sp017883285	GCA_017883285.1	2052149
45451	JAAZPG01 sp012797375	GCA_937868205.1	77133
